geoid,by,pollutant,adjr,sigma,df.residual,formula
d04003,16,98,0.9937518486657415,6017.441157265385,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04005,16,98,0.9935619846943468,10715.03198093083,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04007,16,98,0.9936448282569476,2610.554153605931,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04009,16,98,0.9941223533371812,1150.5183318112852,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04011,16,98,0.9755232636115334,607.9686365413144,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04012,16,98,0.9765739575577688,9322.915555912592,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04013,16,98,0.9931558020063456,117866.88615773358,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04015,16,98,0.9938648066996019,11059.012168034658,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04017,16,98,0.9936211166041748,6158.426246192314,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04019,16,98,0.9932913556889331,26964.476321963677,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04021,16,98,0.9939745436863533,13426.872477235438,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04023,16,98,0.9940576570659563,1540.74776855463,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04025,16,98,0.9938927094758828,11925.428585025533,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04027,16,98,0.9955378758244634,5462.522086236073,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05001,16,98,0.9936626128154737,778.7171115056672,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05003,16,98,0.993410465419677,791.4763498037786,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05005,16,98,0.9940674792880166,1234.0377174682717,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05007,16,98,0.9966565885867654,5668.817055390701,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
